n,b,sample_size,start,stop,treedist
164,9,25,50,150,2.99E+00
165,9,25,100,200,2.64E+00
166,9,25,150,250,2.60E+00
167,9,25,200,300,4.05E+00
168,9,25,250,350,3.34E+00
169,9,25,300,400,2.85E+00
170,9,25,350,450,2.72E+00
171,9,25,400,500,2.74E+00
172,9,25,450,550,1.14E+00
173,9,25,500,600,1.33E+00
174,9,25,550,650,1.16E+00
175,9,25,600,700,1.28E+00
176,9,25,650,750,8.01E-01
177,9,25,700,800,6.38E-01
178,9,25,750,850,6.29E-01
179,9,25,800,900,6.38E-01
180,9,25,850,950,6.79E-01
181,10,25,0,100,1.18E+00
182,10,25,50,150,2.00E+00
183,10,25,100,200,2.54E+00
184,10,25,150,250,3.34E+00
185,10,25,200,300,3.58E+00
186,10,25,250,350,3.92E+00
187,10,25,300,400,3.52E+00
188,10,25,350,450,3.71E+00
189,10,25,400,500,3.29E+00
190,10,25,450,550,1.86E+00
191,10,25,500,600,3.95E+00
192,10,25,550,650,4.25E+00
193,10,25,600,700,2.88E+00
194,10,25,650,750,1.82E+00
195,10,25,700,800,9.01E-01
196,10,25,750,850,1.07E+00
197,10,25,800,900,7.85E-01
198,10,25,850,950,1.12E+00
199,11,25,500,600,1.60E+00
200,11,25,550,650,1.53E+00
201,11,25,600,700,1.21E+00
202,11,25,650,750,1.04E+00
203,11,25,700,800,5.83E-01
204,11,25,750,850,5.04E-01
205,11,25,800,900,5.56E-01
206,11,25,850,950,1.18E+00
207,12,25,0,100,1.61E+00
208,12,25,50,150,1.71E+00
209,12,25,100,200,1.49E+00
210,12,25,150,250,1.67E+00
211,12,25,200,300,3.91E+00
212,12,25,250,350,3.70E+00
213,12,25,300,400,2.99E+00
214,12,25,350,450,2.00E+00
215,12,25,400,500,1.90E+00
216,12,25,450,550,1.59E+00
217,12,25,500,600,2.69E+00
218,12,25,550,650,2.73E+00
219,12,25,600,700,3.15E+00
220,12,25,650,750,1.59E+00
221,12,25,700,800,1.67E+00
222,12,25,750,850,8.18E-01
223,12,25,800,900,5.69E-01
224,12,25,850,950,5.32E-01
225,13,25,0,100,1.13E+00
226,13,25,50,150,2.05E+00
227,13,25,100,200,2.33E+00
228,13,25,150,250,4.42E+00
229,13,25,200,300,4.52E+00
230,13,25,250,350,4.06E+00
231,13,25,300,400,4.05E+00
232,13,25,350,450,4.09E+00
233,13,25,400,500,4.09E+00
234,13,25,450,550,2.59E+00
235,13,25,500,600,3.91E+00
236,13,25,550,650,3.61E+01
237,13,25,600,700,2.17E+00
238,13,25,650,750,1.44E+00
239,13,25,700,800,1.51E+00
240,13,25,750,850,1.11E+00
241,13,25,800,900,1.11E+00
242,14,25,0,100,2.42E+00
243,14,25,50,150,1.83E+00
244,14,25,100,200,1.69E+00
245,14,25,150,250,2.13E+00
246,14,25,200,300,5.88E+00
