n,b,sample_size,start,stop,treedist
n,b,sample_size,start,stop,treedist
10,9,25,650,750,8.014185e-01
10,9,25,700,800,6.379675e-01
10,9,25,750,850,6.285029e-01
10,9,25,800,900,6.378720e-01
10,9,25,850,950,6.794170e-01
11,10,25,0,100,1.183580e+00
11,10,25,50,150,2.001344e+00
11,10,25,100,200,2.536057e+00
11,10,25,150,250,3.342622e+00
11,10,25,200,300,3.575781e+00
11,10,25,250,350,3.922339e+00
11,10,25,300,400,3.521660e+00
11,10,25,350,450,3.709270e+00
11,10,25,400,500,3.289518e+00
11,10,25,450,550,1.856246e+00
11,10,25,500,600,3.948798e+00
11,10,25,550,650,4.251812e+00
11,10,25,600,700,2.877393e+00
11,10,25,650,750,1.819344e+00
11,10,25,700,800,9.005973e-01
11,10,25,750,850,1.074034e+00
11,10,25,800,900,7.849979e-01
11,10,25,850,950,1.123079e+00
12,11,25,500,600,1.596663e+00
12,11,25,550,650,1.528941e+00
12,11,25,600,700,1.207309e+00
12,11,25,650,750,1.035314e+00
12,11,25,700,800,5.830135e-01
12,11,25,750,850,5.039441e-01
12,11,25,800,900,5.562167e-01
12,11,25,850,950,1.176054e+00
13,12,25,0,100,1.611500e+00
13,12,25,50,150,1.711358e+00
13,12,25,100,200,1.494333e+00
13,12,25,150,250,1.669293e+00
13,12,25,200,300,3.912792e+00
13,12,25,250,350,3.695400e+00
13,12,25,300,400,2.990953e+00
13,12,25,350,450,1.997212e+00
13,12,25,400,500,1.896888e+00
13,12,25,450,550,1.591939e+00
13,12,25,500,600,2.689537e+00
13,12,25,550,650,2.734372e+00
13,12,25,600,700,3.145576e+00
13,12,25,650,750,1.591640e+00
13,12,25,700,800,1.665463e+00
13,12,25,750,850,8.183666e-01
13,12,25,800,900,5.685855e-01
13,12,25,850,950,5.315415e-01
14,13,25,0,100,1.125530e+00
14,13,25,50,150,2.051175e+00
14,13,25,100,200,2.332401e+00
14,13,25,150,250,4.421734e+00
14,13,25,200,300,4.515364e+00
14,13,25,250,350,4.056917e+00
14,13,25,300,400,4.047097e+00
14,13,25,350,450,4.094970e+00
14,13,25,400,500,4.093437e+00
14,13,25,450,550,2.592235e+00
14,13,25,500,600,3.905853e+00
14,13,25,550,650,3.609972e+01
14,13,25,600,700,2.166333e+00
14,13,25,650,750,1.438358e+00
14,13,25,700,800,1.513108e+00
14,13,25,750,850,1.105908e+00
14,13,25,800,900,1.112594e+00
n,b,sample_size,start,stop,treedist
15,14,25,0,100,2.421083e+00
15,14,25,50,150,1.831786e+00
15,14,25,100,200,1.689153e+00
15,14,25,150,250,2.134043e+00
15,14,25,200,300,5.878768e+00
15,14,25,250,350,3.324082e+00
15,14,25,300,400,7.142868e+00
15,14,25,350,450,2.936489e+00
15,14,25,400,500,2.942083e+00
15,14,25,450,550,3.083803e+00
15,14,25,500,600,2.564146e+00
15,14,25,550,650,3.175375e+00
15,14,25,600,700,2.302666e+00
15,14,25,650,750,1.734680e+00
